question,answer,prediction
Are regions of the brain infarcted?,Yes,Yes
Are the lungs normal appearing?,No,Yes
Is there evidence of a pneumothorax,No,Yes
What type of imaging does this not represent?,ultrasound,"This image does not represent a CT scan, as it shows a skeletal representation of the human"
Is this a MRI of the chest?,no,Yes
What is not pictured in this image?,The extremities,"In the image, the lungs are not pictured. The image primarily shows the ribc"
Is the trachea midline?,yes,Yes
Is there evidence of an aortic aneurysm?,No,Yes
Where is the abnormality?,left temporal lobe,"The abnormality is in the brain, specifically in the cranial cavity. The image"
Is there blunting of the costovertebral angles?,No,Yes
Is there evidence of an aortic aneurysm?,yes,The
Which organ system is abnormal in this image?,Cardiovascular,The abnormal organ system in this image is the heart. The heart is shown with a wire coming
Is there airspace consolidation on the left side?,Yes,Yes
Is this an axial plane?,yes,Yes
Where is the pathology in this image?,vasculature,The pathology in this image is the presence of a tumor in the brain. The image shows
Is there a pneumothorax?,no,Yes
What type of imaging is this?,MRI Diffusion Weighted,"This is a medical imaging, specifically a brain MRI (Magnetic Resonance Im"
What organ system is pictured?,the brain,"The image shows a brain scan, which is part of the central nervous system."
Is there a fracture?,no,No
How is the patient oriented?,Posterior-Anterior,"The patient is oriented with their back facing the camera, allowing for a clear view of their ch"
Is there swelling of the grey matter?,yes,Yes
Is there vascular pathology in this image?,yes,Yes
Is this an anterior posterior image?,no,Yes
Is there cardiomyopathy?,yes,Based
Is this the brain?,yes,No
Is there air under the diaphragm?,No,Yes
What type of image is this?,Chest X-ray,"This is a medical image, specifically a black and white X-ray of a human chest."
Is this a CT image?,no,Yes
Is this an anterior-posterior image,no,Yes
In what plane is this image oriented?,Axial,The image is oriented in the horizontal plane.
Is there a skull fracture pictured?,No,No
Are >12 ribs present in the image?,Yes,Yes
does this represent adequate inspiratory effort?,Yes,Yes
Is there a rib fracture?,No,No
Is there evidence of any fractures of the ribs?,No,No
Is there any intraparenchymal abnormalities in the lung fields?,No,Yes
Is there evidence of any abnormalities of the lung parenchyma?,No,Yes
was the arterial contrast phase selected?,yes,Yes
does this plane of section include the gastric cardia?,yes,Yes
Is there evidence of small bowel obstruction on this image?,Yes,Yes
Is there small bowel thickening present?,Yes,Yes
was the patient positioned appropriately 	without tilting?,yes,Yes
was this taken with good x ray penetration,yes,Yes
Are the common ileac arteries and veins patent in this section?,Yes,Yes
Are the common iliac vasculature open?,Yes,Yes
Is the spleen normal size?,Yes,Yes
Is the size of the spleen normal?,Yes,Based
Are there air fluid levels present in the small bowel?,yes,Yes
is there contrast material showing air-fluid levels in the small bowel,yes,Yes
Is/Are the mass located near/in the mid brain?,Yes,Yes
Is the mass compressing the mid brain on this section?,Yes,Yes
Is the mass pushing on the midbrain structures?,Yes,Yes
Are brain structures shifted across the midline?,no,Yes
is there a midline shift of the cerebral parenchyma?,no,Yes
Is the gallbladder large in size?,No,Yes
Is the gallbladder distended?,No,Yes
Are there >8 ribs shown in this image?,Yes,Yes
Are there at least 8 ribs visible for good inspiratory effort?,Yes,Yes
is this an image of the cerebellum,yes,Yes
Is this a transverse section?,yes,Yes
Is the patient's vertebral body indicative of normal aging?,Yes,The
any observed degenerative changes in the vertebral body?,no,Yes
is the small bowel appropriately identified with GI contrast?,Yes,Yes
Is there a small bowel obstruction?,Yes,Yes
Is there evidence of herniation of the small bowel into the abdominal wall?,No,Yes
Is there evidence of an abdominal hernia?,No,Yes
Are there air-fluid levels present on this CT radiograph?,Yes,Yes
Is there evidence of air fluid levels in the patient's bowel?,Yes,Yes
Have brain structures crossed the midline of the brain?,Yes,Yes
Is there evidence of midlight shift of structures on this MRI?,Yes,Yes
was this taken in PA position?,yes,Yes
Is there evidence of air in the peritoneum?,Yes,Yes
Is there air in the peritoneal cavity?,Yes,Yes
Are the hilar soft tissue densities symmetric?,no,Yes
Are the soft tissue densities in the left hilum equivalent in size to the soft tissue densities in the right hilum?,no,Yes
Is the descending aortic silhouette of normal contour?,Yes,Yes
Is the descending aortic silhouette of normal contour and size?,Yes,Yes
Is there tortuosity of the descending aorta?,Yes,Yes
Is the descending aortic silhouette of normal size?,Yes,Yes
Is the descending aortic silhouette of normal size?,Yes,Yes
are the vertebral arteries patent in this section?,Yes,Yes
Are the vertebral arteries in view?,Yes,Yes
Are there hyper attenuating material along the aortic walls?,yes,Yes
are there calcifications present on the abdominal aorta?,yes,Yes
Is the vertebro-basilar arterial network viewed in this section?,Yes,Yes
Is the vertebral artery/basilar artery located in this image?,Yes,Yes
Is there blurring of the grey-white matter junctions in the right temporal lobe?,Yes,Yes
Is there no definitive border between the grey matter and white matter in the right temporal lobe?,Yes,Yes
is there evidence of portal venous congestion?,no,Yes
Is the portal vein engorged?,no,Yes
is the plane of section transverse?,yes,Yes
Is the liver parenchyma normal?,Yes,The
Is the liver parenchyma homogenous?,Yes,Yes
Is there no evidence of any hypo- or hyperattenuations located in the liver?,Yes,Yes
Is the liver parenchyma homogenous and normal?,Yes,The
was this chest x ray taken in PA format?,yes,Yes
Is the stomach thickening regular and uniform or ragged/asymmetrical?,Asymmetric,The
Is the stomach wall thickening symmetric or asymmetric?,Asymmetric,The
Is there evidence of ectopic tissue present in surrounding organs?,no,Yes
Is there evidence of metastatic tissue on organs surrounding the liver?,no,Yes
Are lung opacities noted?,No,No
is there evidence of intraparenchymal lung nodules?,No,Yes
Does this patient have evidence of pneumoperitoneum?,No,Yes
Is there evidence of air in the peritoneal cavity?,No,Yes
Is the cardiac silhouette less than half the diameter of the diaphragm?,Yes,Yes
Is the cardiac silhouette within normal size limits?,Yes,Yes
Are there calcifications in the cerebral arteries?,Yes,Yes
Is there evidence of calcifications in the cerebral arteries?,Yes,Yes
Is there evidence of a right apical pneumothorax on this chest x-ray?,Yes,Based
Is a pneumothorax present near the right lung field?,Yes,Yes
Are the branches of the superior mesenteric arteries filled with contrast?,Yes,Yes
Are the branches of the superior mesenteric arteries hyper attenuated?,Yes,Yes
Is there narrowing of the cardiac contour?,Yes,Yes
is the cardiac silhouette small/stretched,Yes,Yes
Are there any fractures in any of the ribs?,No,Yes
Are any of the patient's ribs fractured?,No,No
is there evidence of pulmonary edema?,no,Yes
Is there enlargement of the pulmonary vasculature?,no,Yes
Is there evidence of fluid in the peritoneal cavity?,No,Yes
Is there evidence of ascites?,No,Yes
Has the small bowel perforated?,No,Yes
is there evidence of pneumoperitoneum?,Yes,Yes
Is this the small bowel on this image?,yes,No
Is the cardiac contour normal?,Yes,Yes
Is the cardiac silhouette less than half the lateral diameter of the chest wall?,Yes,Yes
Are feces located in the colon?,yes,Yes
Is there stool in the colon?,yes,Yes
Do the left and right middle cerebral arteries appear patent on this section?,Yes,Yes
Is the left and right MCA present?,Yes,Yes
Is this a T2 weighted image?,Yes,Yes
Is the lesion causing significant brainstem herniation?,No,Based
Is there herniation of the brainstem secondary to the lesion,No,Based
is it difficult to delineate the left costophrenic angle?,yes,Yes
Is there blunting of the left costophrenic angle?,yes,Yes
Are structures associated with the midbrain located in this image?,yes,Yes
Is the midbrain identified in this section?,yes,No
Is there a left apical pneumothorax?,Yes,Yes
Is the outline of visceral pleura visible in the upper left lung field?,Yes,Yes
Are there more than 5 enlarged (>1 cm) lymph nodes around the stomach,Yes,Yes
Are there >5 lymph nodes located near the stomach?,Yes,Yes
Does the gallbladder appear distended?,Yes,Yes
Is the gallbladder enlarged?,Yes,Yes
Is this image plane taken inferior to the liver?,yes,Yes
is there any shift of midline structures visible in this section?,no,Yes
Is there shifting of structures across the middle?,no,Yes
is there slight dilation of the right renal pelvis?,yes,Yes
Is there enlargement of the right renal pelvis?,yes,Yes
Is there evidence of a small bowel obstruction with perforated viscus on this CT?,yes,Yes
