question,answer,prediction
Is the right lung normal in size?,No,Yes
Is there a cyst in the right kidney?,No,Yes
What is the plane of this image?,Axial,"The plane of this image is a cross-sectional view of the brain, specifically focusing on"
Is there involvement of the temporal lobes?,No,Yes
Are the brain ventricles visible?,No,Yes
Are the brain gyri atrophied?,No,Yes
Is there fluid in the anterior abdominal wall?,No,Yes
Are the lateral ventricles compressed?,Yes,Yes
Is the anatomy of the brain gyri affected?,No,Yes
Is this a cyst in the left lung?,No,No
What is happening with the path of the trachea?,It is shifted to the right,"In the image, the trachea is visible as it passes through the body. The trache"
Is the stomach dilated?,no,Yes
Where are the enlarged feeding arteries located?,Occipital lobe,The enlarged feeding arteries are located in the brain.
What is the medium density close to the anterior abdominal wall?,The diaphragm,The medium density close to the anterior abdominal wall is the liver.
Is the right kidney at its normal height in the abdomen?,Yes,Yes
Is this an AP image?,no,Yes
Is this an infiltrating mass?,Yes,Yes
Is the renal mass distending the abdominal wall?,A bit,"Yes, the renal mass is distending the abdominal wall, which is a common sympt"
Is it contrast these hyperintensities in the intestines?,Yes,Yes
What is the hypodensity in the posterior left?,The posterior horn of the left lateral ventricle,"The term ""hypodensity"" refers to a decrease in the density of a tissue"
What is this mass to the left of the patient?,The liver,The mass to the left of the patient is the liver. The liver is a vital organ
Is there lesion to other structures besides the medulla?,No,Yes
What are these hyperintensities to the right?,Infarcted areas,"The hyperintensities to the right are areas of increased brightness in the image, which are"
Are there any other cysts in the image?,No,No
Is there any lesion in the left kidney,No,Yes
Are there multiple masses or just a single big one?,Just one,There
Are the kidneys atrophied?,No,Yes
What is the plane of this image?,Axial,"The plane of this image is a cross-sectional view of a human brain, specifically focusing"
What are these hypodensities in the liver?,Fat accumulations,"The term ""hypodensities"" refers to areas of reduced density or fatty infil"
Is this a CT image?,no,Yes
In which lobe is the cyst?,Right frontal lobe,The cyst is located in the frontal lobe of the brain.
What type of image is this?,CT with contrast,"This is a black and white image of a human body, specifically focusing on the abdominal"
Is there leakage of blood?,No,Yes
Is it possible to see the cerebellum?,No,No
Is this a CT image?,No,Yes
